publishedx_at,brand,contentx,Customer Idx,Question,Tenure Typex,Management areax,Age Groupx,Ethnicityx,Property Typex
2021-07-10,Brand B,"I got everything sorted straight away, I had an emergency and they came out within an hour.",Anonymous,How do I handle missing values?,Shared Ownership,Stokesley,26-35,Other,Maisonette
2023-10-21,Brand C,great service,ST P030840009,What causes high variance in predictions?,Shared Ownership,Stanley,36-45,Other,Maisonette
2022-08-26,Brand A,I am happy,PARK030100001,How can I improve model precision?,Shared Ownership,Cotherstone,18-25,Mixed,House
2022-06-27,Brand C,They help me out a lot.,Anonymous,What hyperparameters should I tune?,Leasehold,Etherley,46-60,White,Flat
2023-03-13,Brand D,Made sure that I got my heating and hot water back on the same day he arrived,Anonymous,What causes high variance in predictions?,Leasehold,REDCAR,46-60,Black,Maisonette
2024-03-17,Brand B,"When you report jobs they come and do them straight away. I have lived here for ten years so I know them pretty well, apart from the repairs it is all OK, I feel safe and secure in my home.",AYRE030310001,What causes high variance in predictions?,Leasehold,Barnard Castle,26-35,Other,Flat
2023-03-19,Brand A,I love it here because they are very nice and friendly. I also get my repairs done quickly and it is better to where I used to live.,PLAN010590001,What causes high variance in predictions?,Leasehold,Hartlepool,46-60,Asian,House
2021-10-08,Brand A,"Every time I have reported anything I have needed doing the people have come out and have been responsible and courteous. They have also been clean and tidy and left the house as they found it and they have also done the job perfectly. Other than repairs, everything is also OK.",MANS010810009,What causes high variance in predictions?,Shared Ownership,Teesdale,36-45,Mixed,Studio
2023-04-04,Brand B,"When I want anything doing it is done in good time and the workmen are always polite. I have lived here for a few years so I know them pretty well, apart from the repairs everything is fine with them.",MITC021150001,How can I improve model precision?,Private Rental,Cockfield,36-45,Mixed,Maisonette
2022-07-13,Brand A,"Everything is going good, when I need something it is done quickly.",BREN010210010,How do I handle missing values?,Shared Ownership,Teesdale,18-25,Asian,House
2024-01-22,Brand B,I have had no issues.,Anonymous,What causes high variance in predictions?,Freehold,THIRSK,46-60,White,Maisonette
2023-01-31,Brand A,I am happy,MANS010810009,How can I improve model precision?,Freehold,THIRSK,36-45,Asian,Flat
2022-02-16,Brand A,"It is a brand new bungalow and everything in it is modern. I moved in in November 2021, so about 18 months ago. The process of moving in was all fine and there have been no major problems since though the garden is a bit large for me to maintain.",PLAN010590001,What hyperparameters should I tune?,Shared Ownership,Cockfield,26-35,Other,Flat
2023-10-01,Brand B,Keep you updated,PARK030100001,Why is inference so slow on new data?,Freehold,Darlington,36-45,Other,Studio
2023-07-03,Brand B,"Any repairs or things that go wrong, North Star do them as soon as they can do.",PLAN010590001,Why is inference so slow on new data?,Private Rental,Carlinhow,46-60,Other,Studio
2022-08-05,Brand B,They help me out a lot.,AIDA010040003,How do I handle missing values?,Leasehold,Middlesbrough,26-35,Mixed,Bungalow
2024-04-06,Brand B,"I am just happy, they come and see me, they come and check up on me regularly. The repair system is good though I am waiting for a repair at the moment. I have lived here for about twenty years so I know them pretty well.",BALD010050001,What hyperparameters should I tune?,Private Rental,Stockton,18-25,Black,Studio
2023-10-08,Brand C,great service,MITC021150001,How can I improve model precision?,Private Rental,Barnard Castle,36-45,Mixed,Bungalow
2024-12-26,Brand A,"Efficiency, reliability, prompt responses.",WORT020150001,How can I improve model precision?,Shared Ownership,Etherley,26-35,Black,Flat
2021-11-07,Brand A,"If we got a problem we ring them up, they know I am old and disabled and they are very quick to respond.",PION020430001,What causes high variance in predictions?,Freehold,Barnard Castle,60+,Black,House
2024-12-15,Brand B,"Every time I have to call them out they do a good job. I have lived here for 15 years so I know them pretty well. Apart from the repairs everything is good, the Neighbours and the area are fine.",NENT010050006,How can I improve model precision?,Shared Ownership,THIRSK,18-25,White,Maisonette
2022-12-26,Brand A,Keep you updated,BREN010210010,What hyperparameters should I tune?,Freehold,Stockton,60+,Mixed,Flat
2022-09-11,Brand B,I love it here because they are very nice and friendly. I also get my repairs done quickly and it is better to where I used to live.,COPE010190002,Why is inference so slow on new data?,Freehold,Barnard Castle,26-35,Other,Bungalow
2021-03-11,Brand D,"North Star do what they can. When you report a repair, they try and come out as quick as they can.",Anonymous,Why is inference so slow on new data?,Private Rental,Stanley,36-45,Mixed,Flat
2023-09-20,Brand D,"North Star do what they can. When you report a repair, they try and come out as quick as they can.",Anonymous,How can I improve model precision?,Private Rental,Hartlepool,60+,Black,Maisonette
2021-05-31,Brand B,"Prompt repair, lovely repair man and a job well done",NENT010050006,How can I improve model precision?,Freehold,Barnard Castle,36-45,Asian,Studio
2023-10-23,Brand D,I am happy,Anonymous,How can I improve model precision?,Private Rental,Staindrop,46-60,Mixed,Studio
2023-04-15,Brand B,They help me out a lot.,Anonymous,How can I improve model precision?,Shared Ownership,Stockton,18-25,Mixed,Flat
2021-01-04,Brand B,I say that because they give a good service.,EMBL010020002,What hyperparameters should I tune?,Shared Ownership,Darlington,36-45,Mixed,Studio
2023-01-05,Brand D,"The maintenance men, I had a gutter leak and they came and mended it in one place but they did not check the rest of it. So, next time it rained leaked elsewhere. They did not check it properly. There is nothing really that they do that is that good.",LARV020050005,What hyperparameters should I tune?,Shared Ownership,Sunderland,18-25,White,Maisonette
2021-05-18,Brand D,I had a problem with my boiler that was going on for a few months. I contacted the housing officer directly and it was sorted within a week.,Anonymous,What causes high variance in predictions?,Private Rental,Staindrop,36-45,White,Studio
2022-04-07,Brand B,I have had no issues.,MILT010770106,What hyperparameters should I tune?,Leasehold,NORTON,36-45,Asian,Maisonette
2024-01-24,Brand A,"They are alright, I have no problems with them at all. I have lived here for over a year, it was a smooth process for me moving in and I have settled well. The move was a good one and I have had no issues.",WELL020780003,How can I improve model precision?,Freehold,REDCAR,36-45,Black,Studio
2022-03-17,Brand B,It is a good service.,ST P030840009,What causes high variance in predictions?,Shared Ownership,Barnard Castle,18-25,Asian,Studio
2024-11-10,Brand C,I love it here because they are very nice and friendly. I also get my repairs done quickly and it is better to where I used to live.,BALD010050001,What hyperparameters should I tune?,Freehold,Evenwood,18-25,Mixed,Studio
2023-05-27,Brand D,Made sure that I got my heating and hot water back on the same day he arrived,AYRE030310001,Why is inference so slow on new data?,Private Rental,Thornaby,26-35,Black,Maisonette
2021-12-31,Brand C,"I have had no problems at all with them. North Star do what is needed at the time, the repairs.",BALD010050001,How can I improve model precision?,Private Rental,Skinningrove,18-25,Mixed,Maisonette
2021-07-06,Brand C,Helpfull,NENT010050006,What causes high variance in predictions?,Shared Ownership,Stokesley,18-25,Other,Flat
2022-04-19,Brand B,They help me out a lot.,NENT010050006,How do I handle missing values?,Leasehold,Gainford,46-60,Mixed,Maisonette
2023-10-17,Brand D,"When I want anything doing it is done in good time and the workmen are always polite. I have lived here for a few years so I know them pretty well, apart from the repairs everything is fine with them.",Anonymous,How can I improve model precision?,Freehold,Middlesbrough,18-25,White,Flat
2021-02-14,Brand B,"Everything is going good, when I need something it is done quickly.",BREN010210010,What hyperparameters should I tune?,Private Rental,Carlinhow,60+,Mixed,Bungalow
2021-06-29,Brand A,I had a problem with my boiler that was going on for a few months. I contacted the housing officer directly and it was sorted within a week.,AIDA010040003,Why is inference so slow on new data?,Private Rental,Gainford,36-45,Black,Studio
2024-11-14,Brand C,This is because their customer service is excellent and any problems are resolved well. I have had no problems with North Star whatsoever.,WELL020780003,What causes high variance in predictions?,Shared Ownership,Thornaby,46-60,Black,Flat
2024-07-24,Brand B,I had a problem with my boiler that was going on for a few months. I contacted the housing officer directly and it was sorted within a week.,BREN010210010,Why is inference so slow on new data?,Private Rental,Middlesbrough,36-45,White,Maisonette
2021-08-22,Brand D,I love it here because they are very nice and friendly. I also get my repairs done quickly and it is better to where I used to live.,PLAN010590001,What hyperparameters should I tune?,Shared Ownership,Gainford,18-25,White,Studio
2022-05-18,Brand B,"North Star do what they can. When you report a repair, they try and come out as quick as they can.",Anonymous,What hyperparameters should I tune?,Leasehold,Teesdale,46-60,Other,Bungalow
2022-01-17,Brand C,It is just a good and quick service from them and they are friendly. I have lived here for five years now so know them pretty well and feel safe and sound in my new build home.,WINS010010001,Why is inference so slow on new data?,Leasehold,NORTON,46-60,Black,Maisonette
2024-03-14,Brand A,"I have had no problems at all with them. North Star do what is needed at the time, the repairs.",BREN010210010,Why is inference so slow on new data?,Freehold,Barnard Castle,46-60,Asian,House
2024-05-13,Brand C,"As soon as you call and report something they come and get the job done, there is no waiting about. Apart from the repairs everything is also OK, the neighborhood is nice and quiet, we are in a cul-de-sac.",COPE010190002,How do I handle missing values?,Private Rental,Stanley,36-45,Black,House
2024-08-20,Brand B,If I need any repairs  done they come straight out or come out the next day,Anonymous,How can I improve model precision?,Private Rental,Barnard Castle,18-25,White,Maisonette
2023-09-24,Brand C,"It is a brand new bungalow and everything in it is modern. I moved in in November 2021, so about 18 months ago. The process of moving in was all fine and there have been no major problems since though the garden is a bit large for me to maintain.",MANS010810009,What hyperparameters should I tune?,Shared Ownership,Hartlepool,60+,White,Flat
2021-05-07,Brand A,Keep you updated,Anonymous,What hyperparameters should I tune?,Shared Ownership,Stokesley,60+,Other,Maisonette
2021-08-13,Brand A,"Everything is going good, when I need something it is done quickly.",NENT010050006,What causes high variance in predictions?,Leasehold,Gainford,36-45,Mixed,Studio
2022-08-13,Brand A,"They are alright, I have no problems with them at all. I have lived here for over a year, it was a smooth process for me moving in and I have settled well. The move was a good one and I have had no issues.",Anonymous,Why is inference so slow on new data?,Private Rental,NORTON,36-45,Asian,Maisonette
2024-02-17,Brand B,Made sure that I got my heating and hot water back on the same day he arrived,EMBL010020002,How can I improve model precision?,Private Rental,Gainford,18-25,Asian,Maisonette
2022-08-09,Brand B,When they come out they are great and do a good job. I do have a complaint as the girl who is in charge around here was up here. My husband told her that the front door archway the concrete is coming off and nothing was done about it.,PARK030100001,How can I improve model precision?,Freehold,THIRSK,18-25,Other,Flat
2024-10-17,Brand A,"I have had no problems at all with them. North Star do what is needed at the time, the repairs.",LARV020050005,How can I improve model precision?,Private Rental,THIRSK,36-45,White,Maisonette
2021-08-09,Brand A,When they come out they are great and do a good job. I do have a complaint as the girl who is in charge around here was up here. My husband told her that the front door archway the concrete is coming off and nothing was done about it.,WINS010010001,Why is inference so slow on new data?,Leasehold,REDCAR,36-45,Black,Maisonette
2022-08-18,Brand C,Made sure that I got my heating and hot water back on the same day he arrived,WORT020150001,How can I improve model precision?,Freehold,Barnard Castle,36-45,White,Flat
2024-05-04,Brand C,All and any issues resolved quickly,AYRE030310001,How do I handle missing values?,Freehold,Teesdale,60+,Asian,Maisonette
2022-10-02,Brand C,"very prompt with repairs. The staff are great, always ready to help.  inside doors are very dated, but all in all everything else is good.",AIDA010040003,Why is inference so slow on new data?,Freehold,Evenwood,36-45,Other,Flat
2024-09-14,Brand B,"As soon as you call and report something they come and get the job done, there is no waiting about. Apart from the repairs everything is also OK, the neighborhood is nice and quiet, we are in a cul-de-sac.",MITC021150001,What causes high variance in predictions?,Freehold,Gainford,60+,Other,Studio
2022-10-30,Brand B,"I have never had any problems at all with them. We have a brilliant Housing Officer and they do a lot of extras with regard to energy efficiency and the cost of living crisis. From the information they have sent they have been and checked all properties for extra efficiency on heating and made improvements where necessary and this has helped in general. Jane is the Housing Officer and she is great, if there is anything she can do she will. Over the years she has helped with my Daughter and arranged improvement work to be carried out. She is always available and will put in place anything that is needed.",MANS010810009,What hyperparameters should I tune?,Private Rental,Barnard Castle,18-25,Black,Studio
2021-02-17,Brand B,They do come whenever I need them and solve any problems. At the moment the only problem is when something is getting repaired I have not been getting informed that they are coming. They say they have texted me and have tried to call but they just arrive without any notification which is difficult as I am a working single mother.,PION020430001,Why is inference so slow on new data?,Shared Ownership,Stanley,60+,Other,Studio
2022-07-17,Brand B,"very prompt with repairs. The staff are great, always ready to help.  inside doors are very dated, but all in all everything else is good.",COPE010190002,What causes high variance in predictions?,Leasehold,REDCAR,18-25,Black,House
2022-09-05,Brand B,Servicing is kept up to date and I’ve just had a full electrical check which makes me feel safe,EMBL010020002,Why is inference so slow on new data?,Shared Ownership,Consett,18-25,Asian,Maisonette
2022-06-17,Brand B,If I need any repairs  done they come straight out or come out the next day,NENT010050006,What hyperparameters should I tune?,Private Rental,THIRSK,36-45,Black,Flat
2023-05-10,Brand C,"Any repairs or things that go wrong, North Star do them as soon as they can do.",MANS010810009,What causes high variance in predictions?,Shared Ownership,Hartlepool,46-60,Mixed,Studio
2023-08-25,Brand D,I have had no issues.,Anonymous,What hyperparameters should I tune?,Shared Ownership,THIRSK,18-25,Other,Bungalow
2021-03-20,Brand C,"I am more than satisfied, they are there if you want anything and everything always gets dealt with. It does not matter how small the issue is, they will deal with it. It was strange when we were in lockdown but they still came out and what Ben needed was sorted by them until I arrived.",WELL020780003,How do I handle missing values?,Shared Ownership,Etherley,36-45,White,House
2023-08-16,Brand C,"When you report jobs they come and do them straight away. I have lived here for ten years so I know them pretty well, apart from the repairs it is all OK, I feel safe and secure in my home.",LARV020050005,How do I handle missing values?,Shared Ownership,Skinningrove,36-45,Asian,House
2024-01-02,Brand D,"Every time I have reported anything I have needed doing the people have come out and have been responsible and courteous. They have also been clean and tidy and left the house as they found it and they have also done the job perfectly. Other than repairs, everything is also OK.",EMBL010020002,How can I improve model precision?,Freehold,Skinningrove,18-25,White,House
2021-04-13,Brand B,because you are honnest,NENT010050006,How can I improve model precision?,Leasehold,Gainford,18-25,Asian,House
2021-11-06,Brand D,If I am needing repairs doing they will do them! There is not much that they will not do. I have lived here for 15 months now so I am still fairly new it has all been brilliant including the process for moving in to the property.,BALD010050001,What hyperparameters should I tune?,Leasehold,Carlinhow,46-60,Other,Bungalow
2021-06-25,Brand D,Helpfull,AYRE030310001,How can I improve model precision?,Freehold,Consett,18-25,Mixed,Maisonette
2024-04-04,Brand C,Helpfull,COPE010190002,What causes high variance in predictions?,Freehold,Thornaby,18-25,Other,Flat
2021-10-31,Brand B,I had a problem with my boiler that was going on for a few months. I contacted the housing officer directly and it was sorted within a week.,MILT010770106,How can I improve model precision?,Freehold,Darlington,18-25,Asian,Bungalow
2022-05-16,Brand D,If I am needing repairs doing they will do them! There is not much that they will not do. I have lived here for 15 months now so I am still fairly new it has all been brilliant including the process for moving in to the property.,ST P030840009,What causes high variance in predictions?,Freehold,Middlesbrough,26-35,White,Flat
2024-04-14,Brand C,"It is a brand new bungalow and everything in it is modern. I moved in in November 2021, so about 18 months ago. The process of moving in was all fine and there have been no major problems since though the garden is a bit large for me to maintain.",ST P030840009,How can I improve model precision?,Leasehold,THIRSK,18-25,Other,Maisonette
2021-07-24,Brand B,"Every time I ring them for a repair I get it done straight away, I do not have to wait months for jobs to be done. Apart from the repairs everything is OK, the neighborhood is OK and I feel safe and secure in my home!",MANS010810009,What hyperparameters should I tune?,Private Rental,Stokesley,36-45,Asian,Studio
2022-11-06,Brand D,"Every time I have reported anything I have needed doing the people have come out and have been responsible and courteous. They have also been clean and tidy and left the house as they found it and they have also done the job perfectly. Other than repairs, everything is also OK.",WELL020780003,What hyperparameters should I tune?,Leasehold,Darlington,18-25,White,Maisonette
2024-01-11,Brand C,"The maintenance men, I had a gutter leak and they came and mended it in one place but they did not check the rest of it. So, next time it rained leaked elsewhere. They did not check it properly. There is nothing really that they do that is that good.",PARK030100001,How do I handle missing values?,Freehold,Barnard Castle,36-45,White,Maisonette
2021-04-06,Brand D,"Prompt repair, lovely repair man and a job well done",MITC021150001,Why is inference so slow on new data?,Shared Ownership,Thornaby,36-45,Other,Flat
2022-11-06,Brand B,"As soon as you call and report something they come and get the job done, there is no waiting about. Apart from the repairs everything is also OK, the neighborhood is nice and quiet, we are in a cul-de-sac.",WELL020780003,What causes high variance in predictions?,Freehold,Consett,60+,Mixed,House
2022-09-24,Brand B,"I just think that they are great. Of all the other Landlords I have had they have never done repairs but these are different. I moved in in August, I was gifted carpets and had a paint card to decorate. I have had the boiler down twice, I cannot fault them, it is working OK at the moment. We had knocked the radiator and that caused the problem.",Anonymous,How can I improve model precision?,Leasehold,Stockton,60+,Asian,Flat
2022-03-01,Brand A,"I just think that they are great. Of all the other Landlords I have had they have never done repairs but these are different. I moved in in August, I was gifted carpets and had a paint card to decorate. I have had the boiler down twice, I cannot fault them, it is working OK at the moment. We had knocked the radiator and that caused the problem.",Anonymous,How can I improve model precision?,Private Rental,Gainford,46-60,Asian,Flat
2022-02-28,Brand B,I have no problem with them.,ST P030840009,How do I handle missing values?,Freehold,Hartlepool,60+,Mixed,Studio
2021-07-01,Brand C,I love it here because they are very nice and friendly. I also get my repairs done quickly and it is better to where I used to live.,WINS010010001,What causes high variance in predictions?,Private Rental,Cotherstone,18-25,Mixed,House
2024-08-04,Brand C,"I have had no problems at all with them. North Star do what is needed at the time, the repairs.",LARV020050005,How can I improve model precision?,Freehold,THIRSK,26-35,Asian,House
2023-11-09,Brand D,Very good housing and very friendly service,MITC021150001,How do I handle missing values?,Leasehold,Gainford,18-25,Asian,Bungalow
2021-10-22,Brand B,They do come whenever I need them and solve any problems. At the moment the only problem is when something is getting repaired I have not been getting informed that they are coming. They say they have texted me and have tried to call but they just arrive without any notification which is difficult as I am a working single mother.,MILT010770106,What hyperparameters should I tune?,Leasehold,Darlington,18-25,Other,Bungalow
2023-10-17,Brand B,"If we have ever reported any defects, they done them immediately.",Anonymous,What causes high variance in predictions?,Private Rental,Etherley,18-25,Other,House
2022-04-11,Brand C,Helpfull,MILT010770106,How can I improve model precision?,Shared Ownership,Hartlepool,60+,Other,House
2022-10-13,Brand A,Keep you updated,PION020430001,How can I improve model precision?,Leasehold,Stockton,18-25,Other,Studio
2022-03-14,Brand A,From getting the phone call to offer me the house nicola was fantastic throughout it all,MITC021150001,How do I handle missing values?,Private Rental,Stanley,46-60,Other,Flat
2023-07-17,Brand B,"Prompt repair, lovely repair man and a job well done",WINS010010001,What causes high variance in predictions?,Freehold,Cotherstone,36-45,Asian,Flat
2024-06-09,Brand A,"I am more than satisfied, they are there if you want anything and everything always gets dealt with. It does not matter how small the issue is, they will deal with it. It was strange when we were in lockdown but they still came out and what Ben needed was sorted by them until I arrived.",NENT010050006,How do I handle missing values?,Shared Ownership,Hartlepool,18-25,White,Studio
2022-07-11,Brand D,"They are alright, I have no problems with them at all. I have lived here for over a year, it was a smooth process for me moving in and I have settled well. The move was a good one and I have had no issues.",BALD010050001,What causes high variance in predictions?,Freehold,Hartlepool,36-45,Black,House
2022-08-08,Brand B,If I need any repairs  done they come straight out or come out the next day,AIDA010040003,Why is inference so slow on new data?,Freehold,NORTON,60+,Asian,Flat
2023-11-11,Brand B,great service,PION020430001,What causes high variance in predictions?,Shared Ownership,Barnard Castle,26-35,White,Maisonette
2021-04-19,Brand B,"As soon as you call and report something they come and get the job done, there is no waiting about. Apart from the repairs everything is also OK, the neighborhood is nice and quiet, we are in a cul-de-sac.",EMBL010020002,What hyperparameters should I tune?,Leasehold,Middlesbrough,18-25,Other,House
2021-03-26,Brand C,"Efficiency, reliability, prompt responses.",EMBL010020002,What causes high variance in predictions?,Freehold,Cotherstone,46-60,Other,Studio
2021-01-07,Brand C,This is because I have had no problems and there is nothing to complain about.,Anonymous,Why is inference so slow on new data?,Private Rental,Cotherstone,18-25,White,Flat
2022-02-12,Brand C,"very prompt with repairs. The staff are great, always ready to help.  inside doors are very dated, but all in all everything else is good.",PION020430001,What causes high variance in predictions?,Private Rental,Gainford,46-60,Mixed,Maisonette
2021-07-26,Brand A,"If we have ever reported any defects, they done them immediately.",COPE010190002,What hyperparameters should I tune?,Freehold,Evenwood,26-35,White,Bungalow
2023-11-20,Brand D,"Any repairs or things that go wrong, North Star do them as soon as they can do.",BALD010050001,Why is inference so slow on new data?,Leasehold,Teesdale,60+,Other,Flat
2021-12-28,Brand C,"If we have ever reported any defects, they done them immediately.",BREN010210010,How do I handle missing values?,Shared Ownership,Sunderland,18-25,Mixed,Bungalow
2023-09-19,Brand D,"Every time I have reported anything I have needed doing the people have come out and have been responsible and courteous. They have also been clean and tidy and left the house as they found it and they have also done the job perfectly. Other than repairs, everything is also OK.",EMBL010020002,How can I improve model precision?,Shared Ownership,Gainford,60+,Black,Studio
2022-11-27,Brand C,Whenever I have had a problem and rung up the office they have sorted it within a day. Nothing has been a problem for them and they have resolved my problems quickly and efficiently.,Anonymous,How do I handle missing values?,Freehold,Evenwood,60+,Black,Flat
2021-03-17,Brand A,It is just a good and quick service from them and they are friendly. I have lived here for five years now so know them pretty well and feel safe and sound in my new build home.,WORT020150001,What hyperparameters should I tune?,Freehold,THIRSK,60+,Asian,Flat
2021-11-10,Brand D,"Any repairs or things that go wrong, North Star do them as soon as they can do.",WORT020150001,What causes high variance in predictions?,Shared Ownership,Hartlepool,60+,Mixed,Studio
2024-08-23,Brand C,"I am just happy, they come and see me, they come and check up on me regularly. The repair system is good though I am waiting for a repair at the moment. I have lived here for about twenty years so I know them pretty well.",LARV020050005,What hyperparameters should I tune?,Leasehold,Carlinhow,60+,White,Maisonette
2021-07-08,Brand D,Very good service,EMBL010020002,How do I handle missing values?,Private Rental,Consett,26-35,Other,Flat
2022-05-13,Brand C,because you are honnest,MILT010770106,How do I handle missing values?,Shared Ownership,Stokesley,46-60,Mixed,House
2021-03-19,Brand B,I have no problem with them.,WELL020780003,How do I handle missing values?,Freehold,Barnard Castle,36-45,Mixed,Maisonette
2022-05-01,Brand B,Keep you updated,EMBL010020002,What causes high variance in predictions?,Shared Ownership,Darlington,60+,Asian,Studio
2024-03-17,Brand B,I had a problem with my boiler that was going on for a few months. I contacted the housing officer directly and it was sorted within a week.,MILT010770106,How can I improve model precision?,Private Rental,Stockton,18-25,Black,Flat
2023-02-27,Brand B,because you are honnest,Anonymous,How do I handle missing values?,Private Rental,Gainford,36-45,Mixed,House
2024-10-01,Brand C,great service,WINS010010001,Why is inference so slow on new data?,Leasehold,Gainford,46-60,Asian,House
2022-01-19,Brand A,When they come out they are great and do a good job. I do have a complaint as the girl who is in charge around here was up here. My husband told her that the front door archway the concrete is coming off and nothing was done about it.,LARV020050005,How can I improve model precision?,Private Rental,Teesdale,26-35,Asian,Bungalow
2021-08-06,Brand D,Very good housing and very friendly service,Anonymous,How do I handle missing values?,Freehold,Thornaby,60+,Mixed,Studio
2023-11-16,Brand C,"Any repairs or things that go wrong, North Star do them as soon as they can do.",Anonymous,What causes high variance in predictions?,Shared Ownership,Cockfield,26-35,Black,Studio
2023-06-16,Brand C,"The maintenance men, I had a gutter leak and they came and mended it in one place but they did not check the rest of it. So, next time it rained leaked elsewhere. They did not check it properly. There is nothing really that they do that is that good.",AIDA010040003,What hyperparameters should I tune?,Shared Ownership,Evenwood,18-25,White,Studio
2021-10-27,Brand C,"As soon as you call and report something they come and get the job done, there is no waiting about. Apart from the repairs everything is also OK, the neighborhood is nice and quiet, we are in a cul-de-sac.",NENT010050006,Why is inference so slow on new data?,Leasehold,Stanley,36-45,Mixed,Studio
2021-10-15,Brand D,I love it here because they are very nice and friendly. I also get my repairs done quickly and it is better to where I used to live.,WORT020150001,How can I improve model precision?,Shared Ownership,Etherley,60+,Asian,Studio
2021-05-15,Brand B,"Efficiency, reliability, prompt responses.",BREN010210010,Why is inference so slow on new data?,Shared Ownership,Teesdale,60+,White,Bungalow
2024-10-26,Brand B,If I am needing repairs doing they will do them! There is not much that they will not do. I have lived here for 15 months now so I am still fairly new it has all been brilliant including the process for moving in to the property.,Anonymous,What hyperparameters should I tune?,Leasehold,Consett,26-35,Asian,House
2021-02-13,Brand B,Very good service,MILT010770106,What causes high variance in predictions?,Freehold,Thornaby,46-60,White,House
2022-08-24,Brand C,Generally rent is fair and necessary work and repairs are carried out saisfactorily,NENT010050006,How do I handle missing values?,Leasehold,Barnard Castle,46-60,Black,Maisonette
2021-03-26,Brand D,I am happy,Anonymous,How can I improve model precision?,Shared Ownership,Gainford,46-60,Black,Bungalow
2024-12-07,Brand B,Very good service,WORT020150001,How do I handle missing values?,Freehold,THIRSK,18-25,Black,Flat
2022-05-24,Brand B,I say that because they give a good service.,LARV020050005,Why is inference so slow on new data?,Private Rental,Cockfield,18-25,Asian,Studio
2024-09-27,Brand C,"As soon as you call and report something they come and get the job done, there is no waiting about. Apart from the repairs everything is also OK, the neighborhood is nice and quiet, we are in a cul-de-sac.",Anonymous,How do I handle missing values?,Private Rental,Carlinhow,26-35,White,House
2023-07-22,Brand D,They help me out a lot.,BALD010050001,What causes high variance in predictions?,Private Rental,Stanley,26-35,White,Maisonette
2022-05-01,Brand D,Helpfull,PLAN010590001,What hyperparameters should I tune?,Leasehold,THIRSK,36-45,Mixed,Studio
2022-12-15,Brand B,If I am needing repairs doing they will do them! There is not much that they will not do. I have lived here for 15 months now so I am still fairly new it has all been brilliant including the process for moving in to the property.,LARV020050005,What causes high variance in predictions?,Shared Ownership,Middlesbrough,60+,White,Studio
2022-05-24,Brand A,Very good service,MILT010770106,What hyperparameters should I tune?,Leasehold,Staindrop,46-60,White,House
2024-06-07,Brand A,"If we got a problem we ring them up, they know I am old and disabled and they are very quick to respond.",MILT010770106,How do I handle missing values?,Leasehold,Teesdale,26-35,Black,Bungalow
2024-03-22,Brand A,"Any repairs or things that go wrong, North Star do them as soon as they can do.",WINS010010001,What causes high variance in predictions?,Private Rental,Evenwood,46-60,White,House
2024-09-10,Brand B,They help me out a lot.,LARV020050005,How can I improve model precision?,Private Rental,Barnard Castle,36-45,Mixed,House
2023-08-20,Brand C,If I am needing repairs doing they will do them! There is not much that they will not do. I have lived here for 15 months now so I am still fairly new it has all been brilliant including the process for moving in to the property.,MILT010770106,Why is inference so slow on new data?,Leasehold,REDCAR,46-60,Asian,Maisonette
2023-12-11,Brand B,"Every time I ring them for a repair I get it done straight away, I do not have to wait months for jobs to be done. Apart from the repairs everything is OK, the neighborhood is OK and I feel safe and secure in my home!",MILT010770106,What causes high variance in predictions?,Freehold,Stokesley,18-25,White,House
2024-06-21,Brand C,I am happy,PION020430001,How can I improve model precision?,Freehold,Carlinhow,26-35,Mixed,Flat
2022-08-12,Brand A,I have had no issues.,BREN010210010,Why is inference so slow on new data?,Shared Ownership,Consett,60+,White,Studio
2022-05-02,Brand A,"They are alright, I have no problems with them at all. I have lived here for over a year, it was a smooth process for me moving in and I have settled well. The move was a good one and I have had no issues.",PARK030100001,How do I handle missing values?,Leasehold,THIRSK,26-35,Mixed,Flat
2021-11-01,Brand B,They do come whenever I need them and solve any problems. At the moment the only problem is when something is getting repaired I have not been getting informed that they are coming. They say they have texted me and have tried to call but they just arrive without any notification which is difficult as I am a working single mother.,Anonymous,What causes high variance in predictions?,Freehold,Gainford,60+,Black,Studio
2023-11-07,Brand D,"When you report jobs they come and do them straight away. I have lived here for ten years so I know them pretty well, apart from the repairs it is all OK, I feel safe and secure in my home.",NENT010050006,What hyperparameters should I tune?,Leasehold,Stanley,18-25,Asian,Flat
2021-03-17,Brand B,I say that because they give a good service.,PION020430001,How can I improve model precision?,Freehold,Cockfield,60+,Mixed,Flat
2022-12-12,Brand D,It is just a good and quick service from them and they are friendly. I have lived here for five years now so know them pretty well and feel safe and sound in my new build home.,WORT020150001,How do I handle missing values?,Shared Ownership,Staindrop,26-35,White,Flat
2023-08-16,Brand C,I have had no issues.,WORT020150001,What hyperparameters should I tune?,Freehold,Darlington,60+,Asian,Bungalow
2024-11-07,Brand D,great service,LARV020050005,Why is inference so slow on new data?,Freehold,Gainford,60+,Other,House
2023-01-04,Brand A,From getting the phone call to offer me the house nicola was fantastic throughout it all,PLAN010590001,What causes high variance in predictions?,Leasehold,Gainford,18-25,White,Studio
2023-03-04,Brand A,Everything is alright. The housing is brilliant. Everyone at North Star is brilliant. Brenda at North Star is absolutely brilliant. I have no faults with them.,ST P030840009,How do I handle missing values?,Leasehold,Skinningrove,26-35,Mixed,Bungalow
2024-02-20,Brand B,Very good service,EMBL010020002,What causes high variance in predictions?,Shared Ownership,Hartlepool,36-45,Asian,Flat
